Hour,R0ad_name,Direction,Location,Time_Spend,Type,Dead,Injury,inside shoulder,inner lane,Nakauchi Lane,middle lane,Chinese and foreign lanes,outer lane,outer shoulder,ramp,capsize accident,construction accident,Dangerous goods vehicles,vehicle fire,Smoke car accident,Mainline interruption,branch, Category, crash car count,datetime,is_death,is_injury,car_type1_ratio,car_type2_ratio,car_type3_ratio,car_type4_ratio,car_type5_ratio
19,10030,1,54,41,A2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/9 19:21,FALSE,TRUE,1,0,0,0,0
3,10010,1,6,75,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,1,2023/2/10 03:36,FALSE,FALSE,1,0,0,0,0
5,10030,1,76,20,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 05:33,FALSE,FALSE,0.5,0.5,0,0,0
7,10030,2,98,9,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/2/10 07:35,FALSE,FALSE,1,0,0,0,0
7,10010,2,23,16,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/2/10 07:52,FALSE,FALSE,1,0,0,0,0
8,10010,2,29.4,9,A3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 08:30,FALSE,FALSE,1,0,0,0,0
8,10020,4,4,7,A3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Train,2,2023/2/10 08:56,FALSE,FALSE,0.5,0.5,0,0,0
9,10010,2,27,25,A3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 09:55,FALSE,FALSE,1,0,0,0,0
11,10030,1,52.7,9,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 11:00,FALSE,FALSE,1,0,0,0,0
11,10010,2,35,5,A3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Train,2,2023/2/10 11:30,FALSE,FALSE,1,0,0,0,0
